Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
538,Benbecula Airport,Benbecula,United Kingdom,BEB,EGPL,57.48109817504883,-7.362780094146728
540,Dundee Airport,Dundee,United Kingdom,DND,EGPN,56.45249938964844,-3.025830030441284
541,Stornoway Airport,Stornoway,United Kingdom,SYY,EGPO,58.215599060058594,-6.331110000610352
542,Tiree Airport,Tiree,United Kingdom,TRE,EGPU,56.49919891357422,-6.869170188903809
547,Norwich International Airport,Norwich,United Kingdom,NWI,EGSH,52.6758003235,1.28278005123
548,London Stansted Airport,London,United Kingdom,STN,EGSS,51.8849983215,0.234999999404
552,Exeter International Airport,Exeter,United Kingdom,EXT,EGTE,50.73440170288086,-3.4138898849487305
579,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,MPN,EGYP,-51.82279968261719,-58.44720077514648
580,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308601,4.76389
582,Maastricht Aachen Airport,Maastricht,Netherlands,MST,EHBK,50.911701,5.77014
585,Eindhoven Airport,Eindhoven,Netherlands,EIN,EHEH,51.4500999451,5.37452983856
586,Eelde Airport,Groningen,Netherlands,GRQ,EHGG,53.1197013855,6.57944011688
591,Rotterdam The Hague Airport,Rotterdam,Netherlands,RTM,EHRD,51.956902,4.43722
596,Cork Airport,Cork,Ireland,ORK,EICK,51.84130096435547,-8.491109848022461
599,Dublin Airport,Dublin,Ireland,DUB,EIDW,53.421299,-6.27007
600,Ireland West Knock Airport,Connaught,Ireland,NOC,EIKN,53.910301208496094,-8.818490028381348
601,Kerry Airport,Kerry,Ireland,KIR,EIKY,52.18090057373047,-9.52377986907959
603,Shannon Airport,Shannon,Ireland,SNN,EINN,52.702,-8.92482
605,Waterford Airport,Waterford,Ireland,WAT,EIWF,52.187198638916016,-7.086959838867188
607,Aarhus Airport,Aarhus,Denmark,AAR,EKAH,56.2999992371,10.619000434899998
608,Billund Airport,Billund,Denmark,BLL,EKBI,55.7402992249,9.15178012848
609,Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,EKCH,55.617900848389,12.656000137329
610,Esbjerg Airport,Esbjerg,Denmark,EBJ,EKEB,55.525902,8.5534
612,Karup Airport,Karup,Denmark,KRP,EKKA,56.29750061035156,9.124629974365234
618,Bornholm Airport,Ronne,Denmark,RNN,EKRN,55.06330108642578,14.759599685668944
619,Sønderborg Airport,Soenderborg,Denmark,SGD,EKSB,54.96440124511719,9.791729927062988
625,Vagar Airport,Vagar,Faroe Islands,FAE,EKVG,62.0635986328125,-7.277219772338867
628,Aalborg Airport,Aalborg,Denmark,AAL,EKYT,57.0927589138,9.84924316406
629,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX,ELLX,49.6233333,6.2044444
